4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.90;49.02;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.92;49.17;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;49.02;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;48.97;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;48.97;0.24
4.90;49.02;0.24
4.90;48.97;0.24
4.90;48.97;0.24
4.90;49.02;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.89;48.92;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;48.97;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;49.02;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;49.02;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;48.97;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.90;49.02;0.24
4.90;48.97;0.24
4.90;49.02;0.24
4.90;49.02;0.24
4.91;49.07;0.24
4.91;49.07;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.07;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.91;49.12;0.24
4.90;48.97;0.24
4.91;49.07;0.24
4.91;49.12;0.24
4.91;49.12;0.24
